tweet_created,negative,neutral,positive
2017-10-25,62.0,49.0,28.0
2017-10-26,52.0,37.0,29.0
2017-10-27,42.0,26.0,12.0
2017-10-28,2.0,6.0,0.0
2017-10-29,,,
2017-10-30,50.0,49.0,25.0
2017-10-31,33.0,19.0,6.0
2017-11-01,,,
2017-11-02,35.0,27.0,13.0
2017-11-03,57.0,41.0,18.0
2017-11-04,33.0,28.0,24.0
2017-11-05,51.0,32.0,11.0
2017-11-06,50.0,28.0,19.0
2017-11-07,46.0,41.0,34.0
2017-11-08,,,
2017-11-09,10.0,6.0,6.0
2017-11-10,,,
2017-11-11,,,
2017-11-12,,,
2017-11-13,58.0,31.0,11.0
2017-11-14,54.0,50.0,32.0
2017-11-15,45.0,32.0,20.0
2017-11-16,43.0,26.0,24.0
2017-11-17,55.0,35.0,16.0
2017-11-18,,,
2017-11-19,,,
2017-11-20,33.0,32.0,21.0
2017-11-21,63.0,37.0,58.0
2017-11-22,67.0,34.0,39.0
2017-11-23,71.0,46.0,23.0
2017-11-24,48.0,51.0,22.0
2017-11-25,50.0,27.0,17.0
2017-11-26,50.0,24.0,10.0
2017-11-27,65.0,39.0,24.0
2017-11-28,74.0,38.0,25.0
2017-11-29,73.0,47.0,29.0
2017-11-30,96.0,84.0,25.0
2017-12-01,65.0,31.0,14.0
2017-12-02,58.0,20.0,15.0
2017-12-03,50.0,28.0,16.0
2017-12-04,46.0,30.0,14.0
2017-12-05,58.0,34.0,26.0
2017-12-06,46.0,18.0,12.0
2017-12-07,,,
2017-12-08,,,
2017-12-09,,,
2017-12-10,,,
2017-12-11,,,
2017-12-12,117.0,34.0,15.0
2017-12-13,134.0,53.0,20.0
2017-12-14,136.0,80.0,90.0
2017-12-15,100.0,58.0,43.0
2017-12-16,38.0,35.0,12.0
2017-12-17,43.0,42.0,10.0
2017-12-18,88.0,51.0,36.0
2017-12-19,97.0,73.0,31.0
2017-12-20,,,
2017-12-21,33.0,21.0,10.0
2017-12-22,99.0,45.0,21.0
2017-12-23,49.0,23.0,16.0
2017-12-24,57.0,18.0,12.0
2017-12-25,40.0,15.0,15.0
2017-12-26,81.0,26.0,13.0
2017-12-27,60.0,32.0,25.0
2017-12-28,51.0,27.0,25.0
2017-12-29,57.0,35.0,14.0
2017-12-30,61.0,16.0,11.0
2017-12-31,27.0,13.0,9.0
2018-01-01,23.0,27.0,15.0
2018-01-02,50.0,40.0,15.0
2018-01-03,102.0,55.0,23.0
2018-01-04,95.0,52.0,18.0
2018-01-05,6.0,2.0,0.0
2018-01-06,,,
2018-01-07,,,
2018-01-08,55.0,26.0,24.0
