airline,date,sentiment,pk
iberia,2017-11-04,positive,1
other,2017-11-04,positive,2
iberia,2017-12-02,neutral,3
other,2017-12-21,negative,4
iberia,2017-12-21,negative,5
other,2017-12-21,negative,6
other,2017-12-06,negative,7
klm,2017-12-06,negative,8
iberia,2017-12-06,negative,9
iberia,2017-11-17,neutral,10
other,2017-11-17,neutral,11
iberia,2017-11-21,positive,12
other,2017-11-06,negative,13
other,2017-11-15,neutral,14
iberia,2017-11-15,neutral,15
other,2017-12-05,negative,16
iberia,2017-12-05,negative,17
iberia,2017-12-24,negative,18
iberia,2017-12-04,positive,19
iberia,2017-11-22,neutral,20
other,2017-12-15,positive,21
iberia,2017-11-17,neutral,22
iberia,2017-12-21,neutral,23
iberia,2017-12-14,neutral,24
other,2017-12-14,neutral,25
other,2017-11-14,negative,26
iberia,2017-12-03,negative,27
iberia,2017-12-03,negative,28
iberia,2017-10-25,negative,29
other,2017-12-17,neutral,30
other,2017-12-17,neutral,31
iberia,2017-11-21,neutral,32
other,2017-10-30,neutral,33
iberia,2017-10-26,neutral,34
other,2017-10-26,neutral,35
iberia,2017-11-27,neutral,36
iberia,2017-12-19,negative,37
iberia,2017-11-30,negative,38
other,2017-11-07,negative,39
iberia,2017-11-13,negative,40
iberia,2017-12-29,negative,41
airnostrum,2017-12-29,negative,42
other,2017-12-29,negative,43
other,2017-10-25,negative,44
iberia,2017-10-25,negative,45
iberia,2017-12-12,positive,46
other,2017-12-02,negative,47
iberia,2017-12-02,negative,48
other,2017-12-02,negative,49
other,2017-12-02,negative,50
other,2017-11-14,neutral,51
iberia,2017-11-20,neutral,52
norwegian,2017-12-06,negative,53
other,2017-12-22,negative,54
iberia,2017-12-22,negative,55
other,2017-12-22,negative,56
iberia,2018-01-02,negative,57
other,2017-11-02,neutral,58
iberia,2017-11-15,negative,59
iberia,2017-11-15,negative,60
iberia,2017-11-04,neutral,61
iberia,2018-01-03,positive,62
other,2017-10-31,neutral,63
iberia,2017-10-25,neutral,64
iberia,2017-12-01,negative,65
iberia,2017-10-27,negative,66
iberia,2017-10-25,negative,67
ryanair,2017-11-20,positive,68
other,2017-11-25,negative,69
ryanair,2017-12-01,neutral,70
other,2017-12-19,neutral,71
other,2017-12-19,neutral,72
iberia,2017-12-19,neutral,73
iberia,2017-12-13,negative,74
other,2017-11-28,negative,75
iberia,2017-11-28,negative,76
iberia,2017-11-06,neutral,77
iberia,2017-12-01,negative,78
other,2017-12-19,positive,79
other,2017-12-19,positive,80
other,2017-12-27,neutral,81
iberia,2017-12-15,negative,82
other,2017-12-15,negative,83
other,2017-11-05,neutral,84
iberia,2017-12-14,negative,85
other,2017-12-14,negative,86
iberia,2017-12-27,negative,87
other,2017-12-19,positive,88
iberia,2017-12-13,negative,89
iberia,2017-12-13,negative,90
aena,2017-12-13,negative,91
iberia,2017-11-23,negative,92
iberia,2017-12-03,negative,93
iberia,2017-11-06,negative,94
other,2017-11-29,negative,95
other,2017-11-29,negative,96
vueling,2017-11-29,negative,97
ryanair,2017-11-29,negative,98
easyjet,2017-11-29,negative,99
other,2017-12-30,negative,100
other,2017-12-30,negative,101
other,2017-12-30,negative,102
iberia,2017-12-30,negative,103
other,2017-12-21,negative,104
other,2017-12-21,negative,105
iberia,2017-12-21,negative,106
iberia,2017-12-24,negative,107
iberia,2017-12-24,negative,108
other,2017-12-24,negative,109
other,2017-12-01,neutral,110
iberia,2017-12-01,neutral,111
other,2017-12-01,neutral,112
other,2017-12-22,negative,113
other,2017-12-22,negative,114
other,2017-12-22,negative,115
iberia,2017-12-22,negative,116
other,2017-12-22,negative,117
other,2017-12-15,neutral,118
ryanair,2017-12-15,neutral,119
iberia,2017-11-22,positive,120
iberia,2017-11-17,negative,121
other,2017-11-26,negative,122
other,2017-11-26,negative,123
ryanair,2017-11-26,negative,124
iberia,2017-12-01,negative,125
iberia,2017-12-27,neutral,126
airnostrum,2017-12-27,neutral,127
iberia,2017-11-06,neutral,128
iberia,2017-11-06,neutral,129
other,2017-11-22,neutral,130
iberia,2017-11-22,neutral,131
other,2017-12-30,negative,132
iberia,2017-12-30,negative,133
other,2017-10-26,negative,134
other,2017-11-26,negative,135
other,2017-11-30,neutral,136
other,2017-12-13,negative,137
other,2017-10-25,positive,138
vueling,2017-12-17,negative,139
iberia,2017-11-09,negative,140
iberia,2017-11-07,positive,141
other,2017-12-15,neutral,142
other,2017-10-26,positive,143
iberia,2017-10-26,positive,144
iberia,2017-11-14,neutral,145
iberia,2017-12-14,negative,146
other,2017-12-01,negative,147
other,2017-12-01,negative,148
avianca,2017-12-01,negative,149
ryanair,2017-12-01,negative,150
vueling,2017-12-01,negative,151
iberia,2017-11-20,negative,152
iberia,2017-10-26,negative,153
other,2017-11-25,negative,154
other,2017-11-25,negative,155
other,2017-11-25,negative,156
other,2017-11-25,negative,157
other,2017-11-25,negative,158
vueling,2017-11-25,negative,159
iberia,2017-12-17,negative,160
iberia,2017-12-22,neutral,161
other,2017-10-25,negative,162
